Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abreu,32,4,8,.500,1,3,.333,3,5,.600,1,2,.500,1,1,2,5,0,0,3,1,12
Demetrius Treadwell,30,2,9,.222,2,9,.222,0,0,,0,0,,5,3,8,1,1,0,1,1,4
Nick Harney,22,5,10,.500,3,5,.600,2,5,.400,3,4,.750,1,3,4,0,3,1,0,0,15
Brian Walsh,21,5,9,.556,4,6,.667,1,3,.333,1,2,.500,1,5,6,4,2,0,0,0,12
Zeke Marshall,16,2,4,.500,2,4,.500,0,0,,1,2,.500,2,2,4,0,1,2,1,4,5
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pat Forsythe,23,4,10,.400,4,10,.400,0,0,,4,6,.667,3,5,8,1,1,0,1,2,12
Jake Kretzer,19,0,3,.000,0,0,,0,3,.000,0,0,,1,3,4,2,0,0,2,2,0
Deji Ibitayo,16,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,2,0,2
Reggie McAdams,8,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Carmelo Betancourt,7,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,3,0
Blake Justice,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0
Jonas Stalyga,1,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3
Luke Avsec,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Darius Hoisten,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,24,59,.407,17,39,.436,7,20,.350,10,16,.625,14,22,36,15,8,3,11,14,65
