Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zeke Marshall,37,3,6,.500,3,6,.500,0,0,,4,7,.571,1,8,9,2,0,2,2,3,10
Demetrius Treadwell,35,6,12,.500,6,12,.500,0,0,,1,3,.333,4,6,10,1,0,0,3,2,13
Brian Walsh,28,2,7,.286,1,4,.250,1,3,.333,3,4,.750,1,6,7,2,1,0,1,2,8
Carmelo Betancourt,27,2,6,.333,2,5,.400,0,1,.000,1,2,.500,0,4,4,3,2,0,1,0,5
Chauncey Gilliam,25,5,8,.625,4,5,.800,1,3,.333,2,2,1.000,0,1,1,1,3,0,0,3,13
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nick Harney,18,3,7,.429,3,7,.429,0,0,,5,7,.714,2,2,4,2,1,0,6,3,11
Jake Kretzer,18,2,5,.400,1,1,1.000,1,4,.250,0,0,,1,2,3,0,1,0,1,4,5
Reggie McAdams,10,0,1,.000,0,1,.000,0,0,,0,0,,2,1,3,1,0,1,0,0,0
Pat Forsythe,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,23,52,.442,20,41,.488,3,11,.273,16,25,.640,11,30,41,12,8,3,14,17,65
