espn_id,sports_ref_id,teamrankings_id,friendly_school,friendly_full
161,fairleigh-dickinson,fairleigh-dickinson-knights,Fairleigh Dickinson,Fairleigh Dickinson Knights
57,florida,florida-gators,Florida,Florida Gators
50,florida-am,florida-am-rattlers,Florida A&M,Florida A&M Rattlers
2226,florida-atlantic,florida-atlantic-owls,Florida Atlantic,Florida Atlantic Owls
526,florida-gulf-coast,florida-gulf-coast-eagles,Florida Gulf Coast,Florida Gulf Coast Eagles
2229,florida-international,florida-international-golden-panthers,Florida International,Florida International Golden Panthers
52,florida-state,florida-st-seminoles,Florida State,Florida St Seminoles
2230,fordham,fordham-rams,Fordham,Fordham Rams
278,fresno-state,fresno-st-bulldogs,Fresno State,Fresno St Bulldogs
231,furman,furman-paladins,Furman,Furman Paladins
2241,gardner-webb,gardner-webb-runnin-bulldogs,Gardner-Webb,Gardner-Webb Runnin Bulldogs
2244,george-mason,george-mason-patriots,George Mason,George Mason Patriots
45,george-washington,george-washington-colonials,George Washington,George Washington Colonials
46,georgetown,georgetown-hoyas,Georgetown,Georgetown Hoyas
61,georgia,georgia-bulldogs,Georgia,Georgia Bulldogs
290,georgia-southern,georgia-st-panthers,Georgia Southern,Georgia St Panthers
2247,georgia-state,georgia-southern-eagles,Georgia State,Georgia Southern Eagles
59,georgia-tech,georgia-tech-yellow-jackets,Georgia Tech,Georgia Tech Yellow Jackets
2250,gonzaga,gonzaga-bulldogs,Gonzaga,Gonzaga Bulldogs
2755,grambling,grambling-state-tigers,Grambling State,Grambling State Tigers
2253,grand-canyon,grand-canyon-antelopes,Grand Canyon,Grand Canyon Antelopes
2739,green-bay,green-bay-phoenix,Green Bay,Green Bay Phoenix
2261,hampton,hampton-pirates,Hampton,Hampton Pirates
42,hartford,hartford-hawks,Hartford,Hartford Hawks
108,harvard,harvard-crimson,Harvard,Harvard Crimson
62,hawaii,hawaii-warriors,Hawaii,Hawaii Warriors
2272,high-point,high-point-panthers,High Point,High Point Panthers
2275,hofstra,hofstra-pride,Hofstra,Hofstra Pride
107,holy-cross,holy-cross-crusaders,Holy Cross,Holy Cross Crusaders
248,houston,houston-cougars,Houston,Houston Cougars
2277,houston-baptist,houston-baptist-huskies,Houston Baptist,Houston Baptist Huskies
47,howard,howard-bison,Howard,Howard Bison
70,idaho,idaho-vandals,Idaho,Idaho Vandals
304,idaho-state,idaho-state-bengals,Idaho State,Idaho State Bengals
356,illinois,illinois-fighting-illini,Illinois,Illinois Fighting Illini
82,illinois-chicago,illinois-chicago-flames,Illinois-Chicago,Illinois Chicago Flames
2287,illinois-state,illinois-st-redbirds,Illinois State,Illinois St Redbirds
2916,incarnate-word,incarnate-word-cardinals,Incarnate Word,Incarnate Word Cardinals
84,indiana,indiana-hoosiers,Indiana,Indiana Hoosiers
282,indiana-state,indiana-st-sycamores,Indiana State,Indiana St Sycamores
314,iona,iona-gaels,Iona,Iona Gaels
2294,iowa,iowa-hawkeyes,Iowa,Iowa Hawkeyes
66,iowa-state,iowa-st-cyclones,Iowa State,Iowa St Cyclones
2870,ipfw,iupu-ft-wayne-mastodons,IPFW,IUPU Ft Wayne Mastodons
85,iupui,indiana-purdue-jaguars,IUPUI,Indiana Purdue Jaguars
2296,jackson-state,jackson-state-tigers,Jackson State,Jackson State Tigers
294,jacksonville,jacksonville-dolphins,Jacksonville,Jacksonville Dolphins
55,jacksonville-state,jacksonville-st-gamecocks,Jacksonville State,Jacksonville St Gamecocks
256,james-madison,james-madison-dukes,James Madison,James Madison Dukes
2305,kansas,kansas-jayhawks,Kansas,Kansas Jayhawks
2306,kansas-state,kansas-st-wildcats,Kansas State,Kansas St Wildcats
338,kennesaw-state,kennesaw-st-fighting-owls,Kennesaw State,Kennesaw St Fighting Owls
2309,kent-state,kent-st-golden-flashes,Kent State,Kent St Golden Flashes
96,kentucky,kentucky-wildcats,Kentucky,Kentucky Wildcats
2325,la-salle,la-salle-explorers,La Salle,La Salle Explorers
322,lafayette,lafayette-leopards,Lafayette,Lafayette Leopards
2320,lamar,lamar-cardinals,Lamar,Lamar Cardinals
2329,lehigh,lehigh-mountain-hawks,Lehigh,Lehigh Mountain Hawks
2335,liberty,liberty-flames,Liberty,Liberty Flames
288,lipscomb,lipscomb-bison,Lipscomb,Lipscomb Bison
299,long-beach-state,long-beach-st-49ers,Long Beach State,Long Beach St 49ers
2344,longwood,longwood-lancers,Longwood,Longwood Lancers
309,louisiana-lafayette,louisiana-lafayette-ragin-cajuns,Louisiana-Lafayette,Louisiana Lafayette Ragin Cajuns
2433,louisiana-monroe,louisiana-monroe-warhawks,Louisiana-Monroe,Louisiana Monroe Warhawks
2348,louisiana-tech,louisiana-tech-bulldogs,Louisiana Tech,Louisiana Tech Bulldogs
97,louisville,louisville-cardinals,Louisville,Louisville Cardinals
2350,loyola-il,loyola-chicago-ramblers,Loyola Chicago,Loyola Chicago Ramblers
2351,loyola-marymount,loyola-marymount-lions,Loyola Marymount,Loyola Marymount Lions
2352,loyola-md,loyola-maryland-greyhounds,Loyola (MD),Loyola Maryland Greyhounds
99,lsu,louisiana-state-tigers,LSU,Louisiana State Tigers
311,maine,maine-black-bears,Maine,Maine Black Bears
2363,manhattan,manhattan-jaspers,Manhattan,Manhattan Jaspers
2368,marist,marist-red-foxes,Marist,Marist Red Foxes
269,marquette,marquette-golden-eagles,Marquette,Marquette Golden Eagles
276,marshall,marshall-thundering-herd,Marshall,Marshall Thundering Herd
120,maryland,maryland-terrapins,Maryland,Maryland Terrapins
2379,maryland-eastern-shore,maryland-e-shore-hawks,Maryland-Eastern Shore,Maryland-Eastern Shore Hawks
113,massachusetts,massachusetts-minutemen,Massachusetts,Massachusetts Minutemen
2349,massachusetts-lowell,massachusetts-lowell-river-hawks,Massachusetts Lowell,Massachusetts Lowell River Hawks
2377,mcneese-state,mcneese-st-cowboys,McNeese State,McNeese State Cowboys
235,memphis,memphis-tigers,Memphis,Memphis Tigers
2382,mercer,mercer-bears,Mercer,Mercer Bears
2390,miami-fl,miami-florida-hurricanes,Miami (FL),Miami Florida Hurricanes
193,miami-oh,miami-oh-red-hawks,Miami (OH),Miami OH Red Hawks
130,michigan,michigan-wolverines,Michigan,Michigan Wolverines
127,michigan-state,michigan-st-spartans,Michigan State,Michigan State Spartans
2393,middle-tennessee,middle-tennessee-st-blue-raiders,Middle Tennessee State,Middle Tennessee State Blue Raiders
270,milwaukee,wis-milwaukee-panthers,Milwaukee,Milwaukee Panthers
135,minnesota,minnesota-golden-gophers,Minnesota,Minnesota Golden Gophers
145,mississippi,mississippi-rebels,Mississippi,Mississippi Rebels
344,mississippi-state,mississippi-st-bulldogs,Mississippi State,Mississippi St Bulldogs
2400,mississippi-valley-state,mississippi-valley-state-delta-devils,Mississippi Valley State,Mississippi Valley State Delta Devils
142,missouri,missouri-tigers,Missouri,Missouri Tigers
2623,missouri-state,missouri-st-bears,Missouri State,Missouri St Bears
2405,monmouth,monmouth-nj-hawks,Monmouth,Monmouth NJ Hawks
149,montana,montana-grizzlies,Montana,Montana Grizzlies
147,montana-state,montana-st-bobcats,Montana State,Montana St Bobcats
2413,morehead-state,morehead-st-eagles,Morehead State,Morehead St Eagles
2415,morgan-state,morgan-st-bears,Morgan State,Morgan St Bears
116,mount-st-marys,mount-st-marys-mountaineers,Mount St. Mary's,Mount St. Mary's Mountaineers
93,murray-state,murray-st-racers,Murray State,Murray State Racers
2426,navy,navy-midshipmen,Navy,Navy Midshipmen
158,nebraska,nebraska-cornhuskers,Nebraska,Nebraska Cornhuskers
2437,nebraska-omaha,nebraska-omaha-mavericks,Nebraska-Omaha,Nebraska-Omaha Mavericks
2440,nevada,nevada-wolf-pack,Nevada,Nevada Wolf Pack
160,new-hampshire,new-hampshire-wildcats,New Hampshire,New Hampshire Wildcats
167,new-mexico,new-mexico-lobos,New Mexico,New Mexico Lobos
166,new-mexico-state,new-mexico-st-aggies,New Mexico State,New Mexico St Aggies
2443,new-orleans,new-orleans-privateers,New Orleans,New Orleans Privateers
315,niagara,niagara-purple-eagles,Niagara,Niagara Purple Eagles
2447,nicholls-state,nicholls-state-colonels,Nicholls State,Nicholls State Colonels
2885,njit,new-jersey-tech-highlanders,NJIT,New Jersey Tech Highlanders
2450,norfolk-state,norfolk-state-spartans,Norfolk State,Norfolk State Spartans
153,north-carolina,north-carolina-tar-heels,North Carolina,North Carolina Tar Heels
2427,north-carolina-asheville,nc-asheville-bulldogs,UNC Asheville,UNC Asheville Bulldogs
2448,north-carolina-at,nocarolina-at-aggies,North Carolina A&T,North Carolina A&T Aggies
2428,north-carolina-central,north-carolina-central-eagles,North Carolina Central,North Carolina Central Eagles
2430,north-carolina-greensboro,nc-greensboro-spartans,UNC Greensboro,UNC Greensboro Spartans
152,north-carolina-state,nc-state-wolfpack,North Carolina State,North Carolina State Wolfpack
350,north-carolina-wilmington,nc-wilmington-seahawks,North Carolina-Wilmington,North Carolina-Wilmington Seahawks
155,north-dakota,north-dakota,North Dakota,North Dakota
2449,north-dakota-state,north-dakota-state-bison,North Dakota State,North Dakota State Bison
2454,north-florida,north-florida-osprey,North Florida,North Florida Osprey
249,north-texas,north-texas-mean-green-eagles,North Texas,North Texas Mean Green Eagles
111,northeastern,northeastern-huskies,Northeastern,Northeastern Huskies
2464,northern-arizona,northern-arizona-lumberjacks,Northern Arizona,Northern Arizona Lumberjacks
2458,northern-colorado,northern-colorado-bears,Northern Colorado,Northern Colorado Bears
2459,northern-illinois,northern-illinois-huskies,Northern Illinois,Northern Illinois Huskies
2460,northern-iowa,northern-iowa-panthers,Northern Iowa,Northern Iowa Panthers
94,northern-kentucky,northern-kentucky-norse,Northern Kentucky,Northern Kentucky Norse
77,northwestern,northwestern-wildcats,Northwestern,Northwestern Wildcats
2466,northwestern-state,northwestern-st-demons,Northwestern State,Northwestern St Demons
87,notre-dame,notre-dame-fighting-irish,Notre Dame,Notre Dame Fighting Irish
2473,oakland,oakland-golden-grizzlies,Oakland,Oakland Golden Grizzlies
195,ohio,ohio-bobcats,Ohio,Ohio Bobcats
194,ohio-state,ohio-st-buckeyes,Ohio State,Ohio St Buckeyes
201,oklahoma,oklahoma-sooners,Oklahoma,Oklahoma Sooners
197,oklahoma-state,oklahoma-st-cowboys,Oklahoma State,Oklahoma St Cowboys
295,old-dominion,old-dominion-monarchs,Old Dominion,Old Dominion Monarchs
198,oral-roberts,oral-roberts-golden-eagles,Oral Roberts,Oral Roberts Golden Eagles
2483,oregon,oregon-ducks,Oregon,Oregon Ducks
204,oregon-state,oregon-st-beavers,Oregon State,Oregon St Beavers
279,pacific,pacific-tigers,Pacific,Pacific Tigers
213,penn-state,penn-st-nittany-lions,Penn State,Penn St Nittany Lions
219,pennsylvania,pennsylvania-quakers,Pennsylvania,Pennsylvania Quakers
2492,pepperdine,pepperdine-waves,Pepperdine,Pepperdine Waves
221,pittsburgh,pittsburgh-panthers,Pittsburgh,Pittsburgh Panthers
2501,portland,portland-pilots,Portland,Portland Pilots
2502,portland-state,portland-st-vikings,Portland State,Portland St Vikings
2504,prairie-view,prairie-view-am-panthers,Prairie View,Prairie View Am Panthers
2506,presbyterian,presbyterian-blue-hose,Presbyterian,Presbyterian Blue Hose
163,princeton,princeton-tigers,Princeton,Princeton Tigers
2507,providence,providence-friars,Providence,Providence Friars
2509,purdue,purdue-boilermakers,Purdue,Purdue Boilermakers
2514,quinnipiac,quinnipiac-bobcats,Quinnipiac,Quinnipiac Bobcats
2515,radford,radford-highlanders,Radford,Radford Highlanders
227,rhode-island,rhode-island-rams,Rhode Island,Rhode Island Rams
242,rice,rice-owls,Rice,Rice Owls
257,richmond,richmond-spiders,Richmond,Richmond Spiders
2520,rider,rider-broncs,Rider,Rider Broncs
2523,robert-morris,robert-morris-colonials,Robert Morris,Robert Morris Colonials
164,rutgers,rutgers-scarlet-knights,Rutgers,Rutgers Scarlet Knights
16,sacramento-state,sacramento-state-hornets,Sacramento State,Sacramento State Hornets
2529,sacred-heart,sacred-heart-pioneers,Sacred Heart,Sacred Heart Pioneers
2598,saint-francis-pa,st-francis-pa-red-flash,St. Francis (PA),St. Francis (PA) Red Flash
2603,saint-josephs,st-josephs-hawks,Saint Joseph's,St Josephs Hawks
139,saint-louis,saint-louis-billikens,Saint Louis,Saint Louis Billikens
2608,saint-marys-ca,st-marys-gaels,Saint Mary's (CA),St Marys Gaels
2612,saint-peters,st-peters-peacocks,St. Peter's,St. Peter's Peacocks
2534,sam-houston-state,sam-houston-st-bearkats,Sam Houston State,Sam Houston St Bearkats
2535,samford,samford-bulldogs,Samford,Samford Bulldogs
301,san-diego,san-diego-toreros,San Diego,San Diego Toreros
21,san-diego-state,san-diego-st-aztecs,San Diego State,San Diego St Aztecs
2539,san-francisco,san-francisco-dons,San Francisco,San Francisco Dons
23,san-jose-state,san-jose-st-spartans,San Jose State,San Jose St Spartans
2541,santa-clara,santa-clara-broncos,Santa Clara,Santa Clara Broncos
2542,savannah-state,savannah-state-tigers,Savannah State,Savannah State Tigers
2547,seattle,seattle-redhawks,Seattle,Seattle Redhawks
2550,seton-hall,seton-hall-pirates,Seton Hall,Seton Hall Pirates
2561,siena,siena-saints,Siena,Siena Saints
6,south-alabama,south-alabama-jaguars,South Alabama,South Alabama Jaguars
2579,south-carolina,south-carolina-gamecocks,South Carolina,South Carolina Gamecocks
2569,south-carolina-state,south-carolina-state-bulldogs,South Carolina State,South Carolina State Bulldogs
2908,south-carolina-upstate,south-carolina-upstate-spartans,USC Upstate,South Carolina Upstate Spartans
233,south-dakota,south-dakota-coyotes,South Dakota,South Dakota Coyotes
2571,south-dakota-state,south-dakota-state-jackrabbits,South Dakota State,South Dakota State Jackrabbits
58,south-florida,south-florida-bulls,South Florida,South Florida Bulls
2546,southeast-missouri-state,se-missouri-st-redhawks,Southeast Missouri State,Se Missouri St Redhawks
2545,southeastern-louisiana,southeastern-louisiana-lions,Southeastern Louisiana,Southeastern Louisiana Lions
2582,southern,southern-jaguars,Southern,Southern Jaguars
79,southern-illinois,southern-illinois-salukis,Southern Illinois,Southern Illinois Salukis
2565,southern-illinois-edwardsville,siu-edwardsville-cougars,SIU Edwardsville,Siu Edwardsville Cougars
2567,southern-methodist,southern-methodist-mustangs,Southern Methodist,Southern Methodist Mustangs
2572,southern-mississippi,southern-miss-golden-eagles,Southern Mississippi,Southern Miss Golden Eagles
253,southern-utah,southern-utah-thunderbirds,Southern Utah,Southern Utah Thunderbirds
179,st-bonaventure,st-bonaventure-bonnies,St. Bonaventure,St. Bonaventure Bonnies
2597,st-francis-ny,st-francis-ny-terriers,St. Francis (NY),St. Francis (NY) Terriers
2599,st-johns-ny,st-johns-red-storm,St. John's,St. John's Red Storm
24,stanford,stanford-cardinal,Stanford,Stanford Cardinal
2617,stephen-f-austin,stephen-f-austin-lumberjacks,Stephen F. Austin,Stephen F. Austin Lumberjacks
56,stetson,stetson-hatters,Stetson,Stetson Hatters
2619,stony-brook,stony-brook-seawolves,Stony Brook,Stony Brook Seawolves
183,syracuse,syracuse-orange,Syracuse,Syracuse Orange
218,temple,temple-owls,Temple,Temple Owls
2633,tennessee,tennessee-volunteers,Tennessee,Tennessee Volunteers
2630,tennessee-martin,tenn-martin-skyhawks,Tennessee-Martin,Tennessee-Martin Skyhawks
2634,tennessee-state,tennessee-st-tigers,Tennessee State,Tennessee State Tigers
2635,tennessee-tech,tennessee-tech-golden-eagles,Tennessee Tech,Tennessee Tech Golden Eagles
251,texas,texas-longhorns,Texas,Texas Longhorns
245,texas-am,texas-am-aggies,Texas A&M,Texas A&M Aggies
357,texas-am-corpus-christi,texas-am-cc-islanders,Texas A&M-CC,Texas A&M-CC Islanders
250,texas-arlington,texas-arlington-mavericks,Texas-Arlington,Texas Arlington Mavericks
2628,texas-christian,texas-christian-horned-frogs,TCU,TCU Horned Frogs
292,texas-pan-american,texas-pan-american-broncs,Texas-Pan American,Texas-Pan American Broncs
2640,texas-southern,texas-southern-tigers,Texas Southern,Texas Southern Tigers
326,texas-state,texas-state-bobcats,Texas State,Texas State Bobcats
2641,texas-tech,texas-tech-red-raiders,Texas Tech,Texas Tech Red Raiders
2649,toledo,toledo-rockets,Toledo,Toledo Rockets
119,towson,towson-tigers,Towson,Towson Tigers
2653,troy,troy-trojans,Troy,Troy Trojans
2655,tulane,tulane-green-wave,Tulane,Tulane Green Wave
202,tulsa,tulsa-golden-hurricane,Tulsa,Tulsa Golden Hurricane
5,uab,uab-blazers,UAB,UAB Blazers
2116,ucf,central-florida-knights,UCF,Central Florida Knights
26,ucla,ucla-bruins,UCLA,UCLA Bruins
2378,umbc,md-baltimore-cty-retrievers,UMBC,Md Baltimore Cty Retrievers
140,umkc,umkc-kangaroos,UMKC,Umkc Kangaroos
2439,nevada-las-vegas,unlv-runnin-rebels,UNLV,UNLV Runnin Rebels
30,usc,southern-california-trojans,USC,Southern California Trojans
254,utah,utah-utes,Utah,Utah Utes
328,utah-state,utah-st-aggies,Utah State,Utah State Aggies
3084,utah-valley,utah-valley-wolverines,Utah Valley,Utah Valley Wolverines
2638,utep,texas-el-paso-miners,UTEP,Texas El Paso Miners
2636,utsa,texas-san-antonio-roadrunners,UTSA,Texas San Antonio Roadrunners
2674,valparaiso,valparaiso-crusaders,Valparaiso,Valparaiso Crusaders
238,vanderbilt,vanderbilt-commodores,Vanderbilt,Vanderbilt Commodores
261,vermont,vermont-catamounts,Vermont,Vermont Catamounts
222,villanova,villanova-wildcats,Villanova,Villanova Wildcats
258,virginia,virginia-cavaliers,Virginia,Virginia Cavaliers
2670,virginia-commonwealth,vcu-rams,Virginia Commonwealth,Virginia Commonwealth Rams
2678,virginia-military-institute,vmi-keydets,Virginia Military,Virginia Military Keydets
259,virginia-tech,virginia-tech-hokies,Virginia Tech,Virginia Tech Hokies
2681,wagner,wagner-seahawks,Wagner,Wagner Seahawks
154,wake-forest,wake-forest-demon-deacons,Wake Forest,Wake Forest Demon Deacons
264,washington,washington-huskies,Washington,Washington Huskies
265,washington-state,washington-st-cougars,Washington State,Washington St Cougars
2692,weber-state,weber-st-wildcats,Weber State,Weber St Wildcats
277,west-virginia,west-virginia-mountaineers,West Virginia,West Virginia Mountaineers
2717,western-carolina,western-carolina-catamounts,Western Carolina,Western Carolina Catamounts
2710,western-illinois,western-illinois-leathernecks,Western Illinois,Western Illinois Leathernecks
98,western-kentucky,western-kentucky-hilltoppers,Western Kentucky,Western Kentucky Hilltoppers
2711,western-michigan,western-michigan-broncos,Western Michigan,Western Michigan Broncos
2724,wichita-state,wichita-st-shockers,Wichita State,Wichita St Shockers
2729,william-mary,william--mary-tribe,William & Mary,William & Mary Tribe
2737,winthrop,winthrop-eagles,Winthrop,Winthrop Eagles
275,wisconsin,wisconsin-badgers,Wisconsin,Wisconsin Badgers
2747,wofford,wofford-terriers,Wofford,Wofford Terriers
2750,wright-state,wright-st-raiders,Wright State,Wright St Raiders
2751,wyoming,wyoming-cowboys,Wyoming,Wyoming Cowboys
2752,xavier,xavier-musketeers,Xavier,Xavier Musketeers
43,yale,yale-bulldogs,Yale,Yale Bulldogs
2754,youngstown-state,youngstown-st-penguins,Youngstown State,Youngstown St Penguins
