clock,away_play,score,home_play
19:32,,0-0,Foul on Josh Benson
19:32,,0-0,Josh Benson Turnover.
19:20,Cameron Golden made Three Point Jumper. Assisted by Marcus Hooten.,3-0,
18:55,,3-0,Jalen Robinson missed Jumper.
18:55,Cameron Golden Block.,3-0,
18:55,,3-0,Dayton Offensive Rebound.
18:40,,3-0,Kevin Dillard missed Three Point Jumper.
18:40,Brandon Peterson Defensive Rebound.,3-0,
18:29,Brandon Peterson made Layup. Assisted by Trey Finn.,5-0,
18:06,,5-3,Devin Oliver made Three Point Jumper. Assisted by Vee Sanford.
17:48,Brandon Peterson missed Jumper.,5-3,
17:48,Brandon Peterson Offensive Rebound.,5-3,
17:38,Brandon Peterson Turnover.,5-3,
17:23,,5-3,Vee Sanford Turnover.
17:22,,5-3,Foul on Vee Sanford
17:05,Trey Finn missed Three Point Jumper.,5-3,
17:04,,5-3,Jalen Robinson Defensive Rebound.
16:53,,5-3,Kevin Dillard missed Layup.
16:53,Marcus Hooten Defensive Rebound.,5-3,
16:27,Marcus Hooten missed Three Point Jumper.,5-3,
16:27,Trey Finn Offensive Rebound.,5-3,
16:19,Kendrick Washington missed Layup.,5-3,
16:19,,5-3,Josh Benson Defensive Rebound.
16:12,,5-3,Vee Sanford missed Three Point Jumper.
16:12,Kendrick Washington Defensive Rebound.,5-3,
15:59,Trey Finn Turnover.,5-3,
15:52,,5-3,Devon Scott missed Layup.
15:52,,5-3,Josh Benson Offensive Rebound.
15:48,,5-5,Josh Benson made Layup.
15:37,,5-5,Foul on Devon Scott
15:37,,,
15:36,Cameron Golden Turnover.,5-5,
15:22,,5-7,Alex Gavrilovic made Jumper. Assisted by Kevin Dillard.
15:09,Kendrick Washington missed Jumper.,5-7,
15:08,Brandon Peterson made Dunk. Assisted by Cameron Golden.,7-7,
14:50,,7-9,Devin Oliver made Layup. Assisted by Matt Derenbecker.
14:13,Cameron Golden Turnover.,7-9,
14:13,,7-9,Devon Scott Steal.
13:56,Foul on Brandon Peterson,7-9,
13:56,,7-10,Devon Scott made Free Throw.
13:56,,7-10,Devon Scott missed Free Throw.
13:56,Brandon Peterson Defensive Rebound.,7-10,
13:31,Kendrick Washington missed Jumper.,7-10,
13:31,,7-10,Alex Gavrilovic Defensive Rebound.
13:22,,7-13,Dyshawn Pierre made Three Point Jumper. Assisted by Matt Derenbecker.
13:06,Ed Townsel missed Jumper.,7-13,
13:06,,7-13,Kevin Dillard Defensive Rebound.
12:40,,7-15,Dyshawn Pierre made Jumper. Assisted by Kevin Dillard.
12:22,Kendrick Washington made Layup. Assisted by Rakeem Dickerson.,9-15,
11:59,,9-15,Alex Gavrilovic missed Jumper.
11:59,Brandon Peterson Block.,9-15,
11:55,Brandon Peterson Defensive Rebound.,9-15,
11:39,Rakeem Dickerson made Three Point Jumper. Assisted by Kendrick Washington.,12-15,
11:23,,12-15,Kevin Dillard missed Three Point Jumper.
11:23,Brandon Peterson Defensive Rebound.,12-15,
11:21,,,
10:50,Kendrick Washington Turnover.,12-15,
10:32,,12-15,Jalen Robinson missed Jumper.
10:32,,12-15,Dyshawn Pierre Offensive Rebound.
10:29,,12-15,Dyshawn Pierre missed Tip Shot.
