Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeremy Crutcher,40,7,12,.583,5,8,.625,2,4,.500,3,5,.600,0,5,5,6,0,0,4,3,19
Demarquelle Tabb,34,6,13,.462,6,12,.500,0,1,.000,2,4,.500,4,11,15,1,3,5,3,4,14
Brandon Ellis,32,1,4,.250,1,1,1.000,0,3,.000,1,2,.500,0,1,1,0,0,0,2,2,3
Jose Long,20,0,3,.000,0,2,.000,0,1,.000,0,0,,1,4,5,0,0,0,2,4,0
Justan Banks,16,1,3,.333,1,3,.333,0,0,,2,2,1.000,1,2,3,0,1,1,2,1,4
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Green Hill,22,5,8,.625,2,4,.500,3,4,.750,4,6,.667,1,0,1,0,0,0,2,4,17
Justin Colvin,18,1,4,.250,1,2,.500,0,2,.000,0,0,,1,0,1,1,0,0,0,0,2
Nicholas West,9,0,1,.000,0,0,,0,1,.000,0,0,,0,2,2,1,0,1,0,1,0
Tyler Davis,8,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,3,0,1,2,0
Anthony Lanier,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,21,50,.420,16,33,.485,5,17,.294,12,19,.632,8,25,33,9,7,7,16,21,59
