Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,35,4,13,.308,4,13,.308,0,0,,3,5,.600,2,5,7,3,1,0,5,5,11
Jordan Swing,34,7,13,.538,4,6,.667,3,7,.429,0,1,.000,2,7,9,0,3,1,4,3,17
Fahro Alihodzic,30,0,2,.000,0,2,.000,0,0,,4,4,1.000,1,2,3,0,3,0,0,3,4
Robert Williams,27,1,5,.200,0,3,.000,1,2,.500,2,4,.500,1,3,4,1,2,1,3,1,5
Quincy Taylor,24,3,6,.500,2,4,.500,1,2,.500,0,0,,0,3,3,2,3,0,2,2,7
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Terence Jones,24,0,4,.000,0,1,.000,0,3,.000,4,4,1.000,0,2,2,4,0,0,3,2,4
Preston Purifoy,23,2,5,.400,1,2,.500,1,3,.333,0,0,,2,3,5,0,2,0,0,0,5
Alexander Scotland-Williamson,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
School Totals,200,17,48,.354,11,31,.355,6,17,.353,13,18,.722,8,25,33,10,14,2,17,18,53
